Gastroenterology,Gastroenterology,Gastroenterologia,Gastroenterología,Gastro-entérologie,胃肠科,胃腸科,گوارش,Khoa tiêu hoá,గాస్ట్రోఎంటరోలాజి | Gyāsṭrō'eṇṭarālajī
Hematology,Hematology,Hematologia,Hematología,Hématologie,血液科,血液科,هماتولوژی (خون),Khoa huyết học,హెమటాలజి | Hematalaji
Neurology,Neurology,Neurologia,Neurología,Neurologie,神经病科,神經內科,بیماری های مغز و اعصاب,Khoa thần kinh,నరాలకు సంబంధించిన వైద్యం | Naraalaki Sambandinchina Vaidyam
Dermatology,Dermatology,Dermatologia,Dermatología,Dermatologie,皮肤科,皮膚科,پوست,Khoa da liễu,చర్మానికి సంబంధించిన వైద్యం | Charmaaniki Sambadinchina Vaidyam
Nephrology,Nephrology,Nefrologia,Nefrología,Néphrologie,肾内科,腎臟內科,نفرولوژی (کلیه),Khoa thận,నెఫ్రోలోజి | Nephrōlōji
Urology,Urology,Urologia,Urología,Urologie,泌尿外科,泌尿外科,اورولوژی (جراحی کلیه و مجاری ادرار),Khoa tiết niệu,యూరాలజీ | Yūrālajī
Pathology,Pathology,Patologia,Patología,Pathologie,病理科,病理科,پاتولوژی,Khoa giải phẫu bệnh,పాథాలజీ | Pāthālajī
Otolaryngology%20(ENT),Otolaryngology ENT,Otorrinolaringologia,Otorrinolaringología,Otorhinolaryngologie ORL,耳鼻喉科,耳鼻喉科,گوش و حلق و بینی,Khoa tai mũi họng,"చెవి, గొంతు, నాలుక వైద్యం | Chevi, Gonthu, Naaluka vaidyudu"
Pulmonology,Pulmonology,Pneumologia,Pulmonología,Pneumologie,肺科,胸肺科,ریه,Khoa hô hấp,ఊపిరితిత్తుల సంబందించిన వైద్యం | Oopiritittula Sambandinchina Vaidyam
Infectious%20Disease,Infectious Diseases,Doenças Infecciosas,Infectología,Infectiologie,传染病科,流行病學科,بیماری های عفونی,Khoa truyền nhiễm,అంటు వ్యాధులు | Aṇṭu vyādhulu
Endocrinology%2C%20Diabetes%20%26%20Metabolism,Diabetes and Endocrinology,Diabetes e Endocrinologia,Diabetes y Endocrinología,Diabète sucré et Endocrinologie,糖尿病和内分泌科,糖尿病和內分泌疾病科,دیابت و غدد درون ریز,Khoa nội tiết và đái tháo đường,ఎండోక్రినాలజీ | Endocrinology
Neurosurgery,Neurosurgery,Neurocirurgia,Neurocirugía,Neurochirurgie,神经外科,神經外科,جراحی مغز و اعصاب,Khoa ngoại thần kinh,నరాల సర్జరీ | Naraala Sarjarī
Rheumatology,Rheumatology,Reumatologia,Reumatología,Rhumatologie,风湿病科,風濕免疫科,روماتولوژی و بیماری های خود ایمنی,Khoa cơ xương khớp,రుమటాలజీ | Rumaṭālajī
Pain%20Medicine,Pain Medicine,Remédio para dor,Medicina para el dolor,Traitement de la douleur,疼痛科,疼痛科,پزشکی درد,Khoa chống đau và chăm sóc giảm nhẹ,నొప్పి వైద్యం | Noppi Vaidyam
Geriatric%20Medicine,Geriatrics,Geriatria,Geriatría,Gériatrie,老年病科,老年醫學科,سالمندان طب,Khoa lão khoa,వ్రిద్ధాప్య కి సంబంధించిన వైద్యం | Vr̥d'dhāpya ki sambandhinchina vaidyam
Plastic%20Surgery,Plastic Surgery,Cirurgia Plástica,Cirugía Plástica,Chirurgie plastique,整形外科,整形外科,جراحی پلاستیک (جراحی زیبایی),Khoa phẫu thuật thẩm mỹ,ప్లాస్టిక్ సర్జరీ | Plāsṭik sarjarī
Oncology,Oncology,Oncologia,Oncología,Oncologie,肿瘤科,腫瘤科,انکولوژی (سرطان),Khoa ung bướu,ఒంకాలోజి | Oṅkālōji
Allergy%20%26%20Immunology,Allergy & Immunology,Alergia e Imunologia,Alergias e Inmunología,Allergie et Immunologie,过敏与免疫科,過敏病科,آلرژی و ایمونولوژی (حساسیت),Khoa dị ứng và miễn dịch,అలెర్జీ మరియు ఇమ్మ్యూనోలోజి | Allergy mariyu immunology
Sports%20Medicine,Sports Medicine,Medicina Esportiva,Medicina deportiva,Médecine du sport,运动药物科,運動醫學科,پزشکی ورزشی,Khoa y học thể thao,స్పోర్ట్స్ మెడిసిన్ | Spōrṭs meḍisin
