Pulmonology,Pulmonology,Pneumologia,Pulmonología,Pneumologie,肺科,胸肺科,ریه,Khoa hô hấp,ఊపిరితిత్తుల సంబందించిన వైద్యం | Oopiritittula Sambandinchina Vaidyam,Pneumologia,?????????????,?????? ????? ?????,Pneumologie,?????????????
Infectious%20Disease,Infectious Diseases,Doenças Infecciosas,Infectología,Infectiologie,传染病科,流行病學科,بیماری های عفونی,Khoa truyền nhiễm,అంటు వ్యాధులు | Aṇṭu vyādhulu,Malattie infettive,???????????? ???????,????? ???????,Boli infec?ioase,??????????? ?????????
Endocrinology%2C%20Diabetes%20%26%20Metabolism,Diabetes and Endocrinology,Diabetes e Endocrinologia,Diabetes y Endocrinología,Diabète sucré et Endocrinologie,糖尿病和内分泌科,糖尿病和內分泌疾病科,دیابت و غدد درون ریز,Khoa nội tiết và đái tháo đường,ఎండోక్రినాలజీ | Endocrinology,Diabete e endocrinologia,?????? ? ??????????????,????? ???? ????,Diabet ?i Endocrinologie,??????? ??? ??????????????
Neurosurgery,Neurosurgery,Neurocirurgia,Neurocirugía,Neurochirurgie,神经外科,神經外科,جراحی مغز و اعصاب,Khoa ngoại thần kinh,నరాల సర్జరీ | Naraala Sarjarī,Neurochirurgia,?????????????,????? ?????,Neurochirurgie,????????????????
Rheumatology,Rheumatology,Reumatologia,Reumatología,Rhumatologie,风湿病科,風濕免疫科,روماتولوژی و بیماری های خود ایمنی,Khoa cơ xương khớp,రుమటాలజీ | Rumaṭālajī,Reumatologia e malattie autoimmuni,???????????? ? ???????????? ???????????,????? ??????? ???????? ???????,Reumatologie ?i Boli Autoimune,???????????? ??? ????????? ????????
Pain%20Medicine,Pain Medicine,Remédio para dor,Medicina para el dolor,Traitement de la douleur,疼痛科,疼痛科,پزشکی درد,Khoa chống đau và chăm sóc giảm nhẹ,నొప్పి వైద్యం | Noppi Vaidyam,Medicina del Dolore,???????? ????,?? ?????? ?????,Analgezice,??????? ??? ??? ????
Geriatric%20Medicine,Geriatrics,Geriatria,Geriatría,Gériatrie,老年病科,老年醫學科,سالمندان طب,Khoa lão khoa,వ్రిద్ధాప్య కి సంబంధించిన వైద్యం | Vr̥d'dhāpya ki sambandhinchina vaidyam,Geriatria,?????????,????? ????????,Geriatrie,??????????
Plastic%20Surgery,Plastic Surgery,Cirurgia Plástica,Cirugía Plástica,Chirurgie plastique,整形外科,整形外科,جراحی پلاستیک (جراحی زیبایی),Khoa phẫu thuật thẩm mỹ,ప్లాస్టిక్ సర్జరీ | Plāsṭik sarjarī,Chirurgia plastica,???????????? ????????,????? ?????,Chirurgie Plastic?,???????? ???????????
Oncology,Oncology,Oncologia,Oncología,Oncologie,肿瘤科,腫瘤科,انکولوژی (سرطان),Khoa ung bướu,ఒంకాలోజి | Oṅkālōji,Oncologia,?????????,?????? ?????/ ????? ???????,Oncologie,?????????
Allergy%20%26%20Immunology,Allergy & Immunology,Alergia e Imunologia,Alergias e Inmunología,Allergie et Immunologie,过敏与免疫科,過敏病科,آلرژی و ایمونولوژی (حساسیت),Khoa dị ứng và miễn dịch,అలెర్జీ మరియు ఇమ్మ్యూనోలోజి | Allergy mariyu immunology,Allergologia e immunologia,???????????? ? ???????????,????? ?????? ????????,Alergie ?i Imunologie,???????? ??? ??????????
Sports%20Medicine,Sports Medicine,Medicina Esportiva,Medicina deportiva,Médecine du sport,运动药物科,運動醫學科,پزشکی ورزشی,Khoa y học thể thao,స్పోర్ట్స్ మెడిసిన్ | Spōrṭs meḍisin,Medicina dello sport,?????????? ????????,?? ???????,Medicin? sportiv?,???????? ???????
